Keyword,Match Type,Bid
ganesha book,Exact,0.30
hinduism books,Exact,0.35
board books indian,Exact,0.35
hindu mythology kids,Exact,0.30
hindu baby gifts,Exact,0.20
hindu children books,Exact,0.25
diwali books kids,Exact,0.30
hinduism books kids,Exact,0.40
ganesha books for kids,Exact,0.25
hindu gods,Exact,0.30
hindu kids,Exact,0.20
hindu god goddess book,Exact,0.30
hinduism for kids,Exact,0.30
hanuman,Exact,0.25
vishnu,Exact,0.20
marvelous hindu deities,Exact,0.40
